Feature,Tree_Rank,SHAP_Rank,Perm_Rank,Consensus_Rank
Price_raw,1.6666666666666667,2.0,1.0,1.5555555555555556
category_encoded,3.3333333333333335,3.0,3.0,3.111111111111111
is_high_risk_category,4.0,4.0,4.0,4.0
courier_encoded,3.6666666666666665,6.0,5.0,4.888888888888888
is_high_performance_courier,5.0,5.0,6.0,5.333333333333333
season_encoded,6.0,7.0,7.0,6.666666666666667
wilaya_region_encoded,6.333333333333333,8.0,8.0,7.444444444444444
is_high_risk_wilaya,8.0,9.0,9.0,8.666666666666666
is_southern,8.666666666666666,10.0,10.0,9.555555555555555
is_major_city,9.333333333333334,11.0,11.0,10.444444444444445
is_wilaya_missing,10.0,12.0,12.0,11.333333333333334
